Troquel, Codigo de barras, Codigo de barras 2, Descripcion, Descripcion extendida, Rubro, SubRubro, Cod.Labo, Laboratorio, Costo s/IVA, Vigencia, Fecha Alta
86182, 7795334000422, 7795334000422, PALATROBIL GTS X 45 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 6250.000, 14/06/2025, 
96512, 7792796000151, 7792796000151, HIPOFISINA 2 AMP X 1 ML, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 418.190, 01/04/2021, 
98463, 7790375250386, 7790375250386, BIL 13 ENZI 30 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 18923.370, 18/06/2025, 
100751, 7795378000785, 7795378000785, KAON JAR X 150 ML, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 8590.510, 29/05/2025, 
100753, 7795378000792, 7795378000792, KAON JAR X 500 ML, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 22459.110, 29/05/2025, 
103061, 7795378000808, 7795378000808, KAON PVO X 30 SOB, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 24015.530, 29/05/2025, 
103643, 7790375002152, 7790375002152, BAGO B1B6B12 5 X 30 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 36127.490, 18/06/2025, 
105461, 7790375250225, 7790375250225, ECC 30 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 19759.080, 18/06/2025, 
105466, 7790375250232, 7790375250232, ECC 60 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 40432.280, 18/06/2025, 
105701, 7790375001346, 7790375001346, PEN DI BEN 1.2 MILL X1AMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 15181.760, 18/06/2025, 
105881, 7790375001353, 7790375001353, PEN DI BEN 2.4 MILL X1AMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 27439.350, 18/06/2025, 
106872, 7790375250393, 7790375250393, NASTIZOL 20 CMP, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 11629.190, 16/05/2025, 
109341, 7790375000172, 7790375000172, BAGOVIT A PLUS CR X 100GR, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 22605.090, 18/06/2025, 
109414, 7795375590005, 7795375590005, TRIDIGESTIVO 20 CMP, , ESPECIALIDADES, , 804, SOUBEIRAN CHOBET, 8956.390, 05/06/2025, 
109761, 7795378001119, 7795378001119, MODATON 20 CMP, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 9939.190, 29/05/2025, 
109762, 7795378001126, 7795378001126, MODATON 50 CMP, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 18815.330, 29/05/2025, 
109912, 7798113693334, 7798113693334, PERFUNGOL PVO 100 GR, , ESPECIALIDADES, , 593, OMICRON S.A. LAB., 10709.870, 09/04/2025, 10/05/2019
112051, 7793094000188, 7793094000188, FARM X PVO X 50 GR, , ESPECIALIDADES, , 51, BAJER, 10924.490, 04/07/2025, 
115441, 7793640000464, 7793640000464, LUMINALETAS 30 CMP, , PSICOF.BOLETA, , 59, BAYER PHARMACEUTICALS ETI, 14653.820, 01/07/2025, 
129303, 7792175000260, 7792175000260, PAPASINE 8 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 9488.330, 27/06/2025, 
129304, 7792175000512, 7792175000512, PAPASINE 16 CMP, , ESPECIALIDADES, , 62, LABORATORIOS BERNABO S.A., 16014.540, 27/06/2025, 
137681, 7795360009307, 7795360009307, IBUPROFENO KLONFTEJBE90ML, , ESPECIALIDADES, , 1436, KLONAL S.R.L., 7234.210, 21/04/2025, 
145062, 7793640237402, 402, LUMINAL 60 CMP, , PSICOF.BOLETA, , 59, BAYER PHARMACEUTICALS ETI, 36251.370, 01/07/2025, 
147544, 7792796485149, 7792796485149, DITE 1AMP+JER Y AGUJA, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 43745.740, 10/06/2025, 
148791, 7792796000267, 7792796000267, OBIOL 6 OV, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 11796.670, 10/06/2025, 
149442, 7792796287521, 7792796287521, VACU BIOL ANTITET X 1 AMP, , ESPECIALIDADES, INSULINAS, 66, INST.BIOLOGICO ARG.SACI., 34877.410, 10/06/2025, 
163623, 7798389330032, 7795312108768, BUSCAPINA 3 AMP, , ESPECIALIDADES, , 340, OPELLA CHC, 14711.170, 30/06/2025, 15/05/2025
164371, 3664798065169, 3664798065169, DULCOLAX 20 CMP, , ESPECIALIDADES, , 340, OPELLA CHC, 21269.430, 30/06/2025, 
165021, 3664798066005, 3664798066005, BUSCAPINA 20 CMP, , ESPECIALIDADES, , 340, OPELLA CHC, 9199.790, 30/06/2025, 
167422, 7795337904192, 7795337904192, NEOMAS BOWERS 16 CMP, , ESPECIALIDADES, , 792, TEMIS LOSTALO S.A., 26702.120, 24/06/2025, 
184412, 7791909108012, AG, FACTOR AG FTE EMU X 150ML, , ESPECIALIDADES, , 106, CASASCO S.A., 14296.510, 26/06/2025, 
184413, 7791909107992, 7791909107992, FACTOR AG FTE EMU X 60 ML, , ESPECIALIDADES, , 106, CASASCO S.A., 8363.680, 26/06/2025, 
189703, 7791909406859, 7791909406859, DERCOLINA PED JAL X 20 GR, , ESPECIALIDADES, , 106, CASASCO S.A., 16843.130, 26/06/2025, 28/08/2014
189962, 7791909202239, 7791909202239, VACU CASA ORAL GTS X 30ML, , ESPECIALIDADES, , 106, CASASCO S.A., 43490.840, 26/06/2025, 13/10/2016
190192, 7791909105202, 7791909105202, FACTOR AG GTS X 30 ML, , ESPECIALIDADES, , 106, CASASCO S.A., 15477.530, 26/06/2025, 
190353, 7791909406453, 7791909406453, DERCOLINA AD JAL X 20 GR, , ESPECIALIDADES, , 106, CASASCO S.A., 18319.890, 26/06/2025, 28/08/2014
194231, 7795373012233, , SUMMAVAC M 8 AMP, , ESPECIALIDADES, INSULINAS, 1614, PABLO CASSARA, 43100.000, 23/06/2025, 30/12/2016
194731, 7798129414152, 7798129414152, MICROSONA C CR X 15 GR, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 12396.350, 23/06/2025, 
195143, 7795373011502, 7795373011502, RINOGEL GEL NAS X 15 ML, , ESPECIALIDADES, , 1614, PABLO CASSARA, 9810.000, 23/06/2025, 
195482, 7795373010475, 7795373010475, ESODAR GTS X 10 ML, , ESPECIALIDADES, , 1614, PABLO CASSARA, 11190.000, 23/06/2025, 
199362, 7795330000280, 7795330000280, TUAPLEX 50 CMP, , ESPECIALIDADES, , 996, CETUS, 41851.550, 26/06/2025, 
199521, 7795330000334, 7795330000334, ARNOL 720 T X 30 CMP, , PSICOF.LISTA 4, , 996, CETUS, 22171.310, 26/06/2025, 
199522, 7795330000341, 7795330000341, ARNOL 720 T X 60 CMP, , PSICOF.LISTA 4, , 996, CETUS, 43670.420, 26/06/2025, 
199601, 7795330000297, 7795330000297, ZIMEROL 45 CMP, , ESPECIALIDADES, , 996, CETUS, 26375.980, 26/06/2025, 
199783, 7795330000228, 7795330000228, FLAVAL 30 CMP, , ESPECIALIDADES, , 996, CETUS, 30635.200, 26/06/2025, 
199784, 7795330000235, 7795330000235, FLAVAL 60 CMP, , ESPECIALIDADES, , 996, CETUS, 59857.770, 26/06/2025, 
200902, 7795330000150, 7795330000150, CUADEL 5 MG X 20 CMP, , PSICOF.LISTA 4, , 996, CETUS, 5744.620, 28/03/2025, 
202222, 7795330000167, 7795330000167, CUADEL 10 MG X 20 CMP, , PSICOF.LISTA 4, , 996, CETUS, 7978.160, 26/06/2025, 
206021, 7795306502534, 7795306502534, RITALINA 10 X 30 CMP, , PSICOF.BOLETA, , 103, NOVARTIS FARMA, 30888.610, 01/07/2025, 
208921, 7795306163575, 7795306163575, DESFERAL 500 X 10 AMP, , ESPECIALIDADES, , 103, NOVARTIS FARMA, 57216.879, 02/06/2025, 
215671, 7792796000212, 7792796000212, METRONIDA BIOL 500X20CMP*, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 16283.420, 10/06/2025, 
219232, 7798129416262, 7795380043015, TETRALGIN NOVO 20 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 9817.560, 19/06/2025, 
219233, 7798129416279, 7798129416279, TETRALGIN NOVO 40 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 18700.440, 19/06/2025, 
219685, 7795375526004, 7795375526004, CLOFIBRATE MAGN 50 CMP, , ESPECIALIDADES, , 804, SOUBEIRAN CHOBET, 45367.880, 05/06/2025, 
220542, 7792234062307, 7792234062307, ISLOTIN 30 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 8164.900, 22/04/2025, 
220543, 7792234062000, 7792234062000, ISLOTIN 100 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 25878.440, 22/04/2025, 
222441, 7792234060303, 7792234060303, GENOLAXANTE 30 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 13052.760, 19/06/2025, 
222442, 7792234060501, 7792234060501, GENOLAXANTE 50 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 19586.950, 19/06/2025, 
224424, 7792234088642, 7792234088642, DIGESPLEN 30 CMP, , ESPECIALIDADES, , 133, CRAVERI S.A.C.I., 20598.630, 19/06/2025, 
227732, 7795331006670, 7795331006670, SINCERUM GTS X 5 ML, , ESPECIALIDADES, , 150, DALLAS S.A. LABORATORIOS, 7450.470, 01/07/2025, 
227733, 7795331000081, 7795331000081, SINCERUM GTS X 8 ML, , ESPECIALIDADES, , 150, DALLAS S.A. LABORATORIOS, 9831.010, 01/07/2025, 
227813, 7795331000203, 7795331000203, PROETZTOTAL SOL P/NEBX10M, , ESPECIALIDADES, , 150, DALLAS S.A. LABORATORIOS, 11713.970, 01/07/2025, 
227814, 7795331000210, 7795331000210, PROETZTOTAL SOL P/NEBX20M, , ESPECIALIDADES, , 150, DALLAS S.A. LABORATORIOS, 17293.840, 01/07/2025, 
235160, 7795336218023, 7795336218023, HIDROCORTISONA 500 X 1AMP, , ESPECIALIDADES, , 699, RICHET S.A., 49563.650, 11/06/2025, 
270713, 7790375270599, 7790375270599, SEPTILISIN DUO 14 COR, , ESPECIALIDADES, , 222, BAGO LABORATORIOS, 22714.050, 18/06/2025, 
271403, 7798015780125, 7798015780125, VERORAB VACU A/RABI HUM, , ESPECIALIDADES, , 1374, SANOFI  PASTEUR S.A., 147511.870, 01/07/2025, 
274501, 7794207084132, 7794207084132, FADALEX JAR X 120 ML, , ESPECIALIDADES, , 591, OFAR SOC. ANONIMA, 7980.000, 07/05/2025, 
275801, 7798015780095, , TETAVAX X 1 JER, , ESPECIALIDADES, INSULINAS, 1374, SANOFI  PASTEUR S.A., 2091.360, 17/11/2023, 15/01/2020
280503, 7795330000051, 7795330000051, BELMALEN 20 CMP, , ESPECIALIDADES, , 996, CETUS, 18786.210, 26/06/2025, 
280511, 7795330000143, 7795330000143, CORIZINA 12 CMP, , ESPECIALIDADES, , 996, CETUS, 7663.350, 26/06/2025, 
282921, 7798006300516, 7798006300516, SUPO GLIC FECO PED 10 SUP, , ESPECIALIDADES, , 251, FECOFAR ESP, 7945.650, 27/06/2025, 
283091, 7798006300509, 7798006300509, SUPO GLIC FECO AD 10 SUP, , ESPECIALIDADES, , 251, FECOFAR ESP, 7945.650, 27/06/2025, 
283531, 7795336233118, 7795336233118, CEFALEXINA RICH 500 X 8, , ESPECIALIDADES, , 699, RICHET S.A., 5918.210, 11/06/2025, 
287714, 7794428011153, 7794428011153, SORSIS CR X 45 GR, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 10606.230, 29/05/2025, 
287972, 7794428012495, 7794428012495, FORTCINOLONA 6MG INY1X1ML, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 10564.850, 29/05/2025, 15/12/2020
287973, 7794428012501, 7794428012501, FORTCINOLONA 6MG INY3X1ML, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 26695.580, 29/05/2025, 15/12/2020
288490, 7795336234177, 7795336234177, AMOXICILINA RIC 1 X 8 CMP, , ESPECIALIDADES, , 699, RICHET S.A., 9003.430, 11/06/2025, 
288701, 7798006300035, 7798006300035, ALERGITRAT 20 CMP, , ESPECIALIDADES, , 251, FECOFAR ESP, 9710.300, 27/06/2025, 
294802, 7792183002386, 7792183002386, RELIVERAN PED GTS X 20ML*, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 7616.780, 07/07/2025, 
295635, 7791171100592, 7791171100592, PAUSAFREN T 40 CMP, , PSICOF.LISTA 4, , 256, FINADIET S.A.C.I.F., 26017.130, 08/07/2025, 
296962, 7792183002362, 7792183002362, RELIVERAN AD GTS X 20 ML, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 8976.950, 07/07/2025, 
296964, 7792183002379, 7792183002379, RELIVERAN AD GTS X 60ML, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 23287.270, 07/07/2025, 
297031, 7792183002584, 7792183002584, RELIVERAN 3 AMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 10917.240, 07/07/2025, 26/07/2016
297032, 7792183002591, 7792183002591, RELIVERAN 6 AMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 20740.000, 07/07/2025, 26/07/2016
297291, 7792183002324, 7792183002324, RELIVERAN 20 CMP*, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 7163.380, 07/07/2025, 
303382, 7795334256089, 7795334256089, BUCOTRICIN 9 CAR, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 4500.000, 14/06/2025, 
311701, 7798006300172, 7798006300172, DRYNISAN AD GTS X 15 ML, , ESPECIALIDADES, , 251, FECOFAR ESP, 3962.850, 27/06/2025, 
312114, 7795332000226, 7795332000226, PRESI REGUL D 10 X 20 CMP, , ESPECIALIDADES, , 241, FABRA S.R.L., 9746.000, 14/05/2025, 
312291, 7798074620066, 7798074620066, DICLOMAR 50 X 20 CMP, , ESPECIALIDADES, , 508, MAR LAB., 4360.000, 17/06/2025, 
312292, 7798074620325, 7798074620325, DICLOMAR 50 X 30 CMP, , ESPECIALIDADES, , 508, MAR LAB., 8880.000, 17/06/2025, 
312371, 7795332000073, 7795332000073, BENISAN FAB 20 CMP, , ESPECIALIDADES, , 241, FABRA S.R.L., 8914.000, 14/05/2025, 
312791, 7795332000080, 7795332000080, BUTA RUT B12 20 CMP, , ESPECIALIDADES, , 241, FABRA S.R.L., 35552.000, 14/05/2025, 
313022, 7795332000097, 7795332000097, BUTASONA 20 CMP, , ESPECIALIDADES, , 241, FABRA S.R.L., 8378.000, 14/05/2025, 
313284, 7795332000936, 7795332000936, DIAZEPAM FABRA 10 X 50CMP, , PSICOF.LISTA 4, , 241, FABRA S.R.L., 14453.000, 07/04/2025, 
316752, 7798365531088, 7798365531088, BETNOVATE CAP X 30 ML, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 19873.100, 02/07/2025, 
317322, 7796930001196, 7796930001196, BETNOVATE N CR X 15 GR, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 15489.390, 02/07/2025, 
317323, 7798365531125, 7798365531125, BETNOVATE N CR X 30 GR, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 24230.170, 02/07/2025, 
317401, 7798365531163, 7798365531163, BETNOVATE CR X 15 GR, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 16470.820, 02/07/2025, 
317402, 7798365531132, 7798365531132, BETNOVATE CR X 30 GR, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 28992.150, 02/07/2025, 
317902, 7798129416606, 7798129416606, GRISOVIN FP 500 X 24 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 25621.970, 19/06/2025, 
319481, 7795345013398, 7795345013398, OSTELIN POTEN 100 X 10 ML, , ESPECIALIDADES, , 705, ROEMMERS S.A.I.C.F., 7166.560, 26/05/2025, 
320371, 7798365531101, 7798365531101, LEVO TIROXINA 100 X 50CMP, , ESPECIALIDADES, , 248, GSK BIOPHARMA ARG S.A., 24250.520, 02/07/2025, 
325581, 7795355999255, 7795355999255, ANAFRANIL 30 CMP, , PSICOF.LISTA 4, , 1092, BIOSIDUS S.A.U., 25239.030, 30/06/2025, 
327221, 7798129413988, 7798129413988, SINTROM 4 X 20 CMP, , ESPECIALIDADES, , 1564, SIEGFRIED S.A, 32102.990, 23/06/2025, 
341089, 7795376000053, 7795376000749, TRIYOSOM 60 X 50 ML, , ESPECIALIDADES, , 298, GOBBI - NOVAG S.A., 81298.390, 30/05/2025, 
341164, 7795376000060, 7795376000060, TRIYOSOM 76 X 25 ML, , ESPECIALIDADES, , 298, GOBBI - NOVAG S.A., 66842.140, 30/05/2025, 
341272, 7791763000149, 7791763000149, CICATUL NF 6 OV, , ESPECIALIDADES, , 693, RAYMOS MEGALABS ARGENTINA, 18362.640, 01/07/2025, 
341298, 7791763000132, 7791763000132, CICATUL NF CR X 30 GR, , ESPECIALIDADES, , 693, RAYMOS MEGALABS ARGENTINA, 26914.890, 01/07/2025, 
347947, 7792183487978, 7792183487978, ATENOLOL GADO 100 X 30CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 17353.710, 07/07/2025, 21/01/2015
347948, 7792183487985, 7792183487985, ATENOLOL GADO 100 X 60CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 35299.860, 07/07/2025, 21/01/2015
348191, 7792183201345, 7792183201345, ENEMOL SOL X 135 ML, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 13330.480, 07/07/2025, 
349006, 7792183101065, 7792183101065, DANANTIZOL 100 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 8890.530, 07/07/2025, 
349262, 7792183100266, 7792183100266, ATENOLOL GADO 50 X 28 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 12937.910, 07/07/2025, 
349267, 7792183488012, 7792183488012, ATENOLOL GADO 50 X 30 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 13290.210, 07/07/2025, 21/01/2015
349268, 7792183487961, 7792183487961, ATENOLOL GADO 50 X 60 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 26539.200, 07/07/2025, 21/01/2015
349842, 7792183105605, 7792183105605, PROPRANOLOL 10 X 20 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 8013.560, 07/07/2025, 
350573, 7792183105667, 7792183105667, PROPRANOLOL 40 X 50 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 16922.060, 07/07/2025, 
350574, 7792183105681, 7792183105681, PROPRANOLOL 40 X 100 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 33789.350, 07/07/2025, 
350815, 7792183100419, 7792183100419, BILETAN ENZI 20 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 10253.930, 07/07/2025, 
350816, 7792183100426, 7792183100426, BILETAN ENZI 40 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 19745.700, 07/07/2025, 
350817, 7792183001471, 7792183001471, BILETAN ENZI 30 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 15563.560, 07/07/2025, 
350818, 7792183001488, 7792183001488, BILETAN ENZI 60 CMP, , ESPECIALIDADES, , 290, GADOR S.A. ESP, 29451.550, 07/07/2025, 
354293, 7796285286477, 7796285286477, BRONQUISEDAN NN X 120 ML, , ESPECIALIDADES, , 1050, ELEA O.T.C, 12650.230, 25/06/2025, 21/03/2020
355442, 7795334000170, 7795334000170, KRITEL GTS X 20 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 9200.000, 14/06/2025, 
359403, 7795334271891, 7795334271891, REFENAX GTS NAS X 25 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 5190.000, 14/06/2025, 
359662, 7795334001160, 7795334001160, REFENAX JAR X 120 ML, , ESPECIALIDADES, , 531, MONSERRAT ECLAIR LAB., 12950.000, 13/05/2025, 
370429, 7791909304650, 7791909304650, ISOBLOC 25 X 30 CMP, , ESPECIALIDADES, , 106, CASASCO S.A., 19014.080, 26/06/2025, 
373366, 7798006301650, 7798006301650, HEBERT AD NF JAR X 100 ML, , ESPECIALIDADES, , 251, FECOFAR ESP, 10805.960, 27/06/2025, 
373374, 7798006301667, 7798006301667, HEBERT PED JAR X 100 ML, , ESPECIALIDADES, , 251, FECOFAR ESP, 10805.960, 27/06/2025, 
375081, 3664798065183, 3664798065183, NOVALGINA 5 AMP X 2 ML, , ESPECIALIDADES, , 340, OPELLA CHC, 13788.560, 30/06/2025, 
377285, 7798006300370, 7798006300370, DUFLEGRIP JAR X 100 ML, , ESPECIALIDADES, , 251, FECOFAR ESP, 7298.790, 27/06/2025, 
377721, 7798389330124, 7798389330124, NOVALGINA 10 CMP*, , ESPECIALIDADES, , 340, OPELLA CHC, 8460.580, 30/06/2025, 03/05/2022
377726, 7795312109192, 7795312109192, NOVALGINA 1000 CMP, , ESPECIALIDADES, , 340, OPELLA CHC, 758155.690, 30/06/2025, 
377727, 7798389330162, 7795312109208, NOVALGINA 30 CMP, , ESPECIALIDADES, , 340, OPELLA CHC, 22744.670, 30/06/2025, 
377983, 7795312109277, 7795312109277, LASIX 40 X 50 CMP, , ESPECIALIDADES, , 1928, SANOFI GEM, 51604.880, 01/07/2025, 
377984, 7795312109284, 7795312109284, LASIX 40 X 60 CMP, , ESPECIALIDADES, , 1928, SANOFI GEM, 61926.810, 01/07/2025, 
377985, 7795312109291, 7795312109291, LASIX 40 X 30 CMP, , ESPECIALIDADES, , 1928, SANOFI GEM, 30963.310, 01/07/2025, 
378142, 7794428010538, 7794428010538, DORPIEL 0.025  CR X 20 GR, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 23317.540, 29/05/2025, 08/08/2024
378184, 7794428010545, 7794428010545, DORPIEL 0.1  SOL X 10 ML, , ESPECIALIDADES, , 171, FORTBENTON CO.LAB.SA. ESP, 1185.620, 18/06/2021, 
379122, 3664798070019, 7795312000079, NOVALGINA JAR X 200 ML, , ESPECIALIDADES, , 340, OPELLA CHC, 18215.580, 30/06/2025, 
379123, 3664798056747, 3664798056747, NOVALGINA JAR X 100 ML, , ESPECIALIDADES, , 340, OPELLA CHC, 10929.350, 30/06/2025, 16/07/2024
389800, 7798025130071, 7798025130071, DESMOPRESIN INY X 10 AMP, , ESPECIALIDADES, INSULINAS, 260, FERRING LABORAT. S.A., 208159.900, 01/07/2025, 12/04/2022
392340, 7794207000484, 7794207000484, KETOLEF CR X 15 GR, , ESPECIALIDADES, , 591, OFAR SOC. ANONIMA, 7168.000, 02/07/2025, 
395443, 7795349501242, 7795349501242, SUMENAN 30 CMP, , PSICOF.LISTA 4, , 23, ARISTON S.A.C.I., 15857.010, 01/07/2025, 
397942, 7795378000310, 7795378000310, CARBOGASOL GTS X 30 ML, , ESPECIALIDADES, , 536, MONTPELLIER S.A., 5907.750, 17/03/2025, 
398511, 7792796000175, 7792796000175, INESPECIN 6 CMP, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 22000.580, 10/06/2025, 
399261, 7792796000243, 7792796000243, NILFLUX BIOL 10 CMP, , ESPECIALIDADES, , 66, INST.BIOLOGICO ARG.SACI., 30086.150, 10/06/2025, 
399776, 7798021110053, 7798021110053, NITEREY 0.02  CR X 30 GR, , ESPECIALIDADES, , 770, THERABEL PHARMA S.A., 22581.180, 30/04/2025, 
