Troquel, Codigo de barras, Codigo de barras 2, Descripcion, Descripcion extendida, Rubro, SubRubro, Cod.Labo, Laboratorio, Costo s/IVA, Publico, Vigencia, Fecha Alta
601726, 7798094546018, 7798094546018, FAJA PTM ABDOMI NEOP XL, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 18402.840, 0.000, 12/03/2025, 12/04/2017
601727, 7798094546261, 7798094546261, RODI PTM SOST ROTU NEOP M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 10386.120, 0.000, 12/03/2025, 12/04/2017
601728, 7798094546452, 7798094546452, TOBI PTM NEOP XL, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 5908.720, 0.000, 12/03/2025, 12/04/2017
601729, 7798094546278, 7798094546278, RODI PTM SOST ROTU NEOP L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 10386.120, 0.000, 12/03/2025, 12/04/2017
601730, 7798094541167, 7798094541167, SOSTEN MATERNAL PTM S, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 8564.800, 0.000, 12/03/2025, 12/04/2017
601731, 7798094541174, 7798094541174, SOSTEN MATERNAL PTM M, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 8564.800, 0.000, 12/03/2025, 12/04/2017
601732, 7798094546285, 7798094546285, RODI PTM SOST ROTU NEO XL, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 10386.120, 0.000, 12/03/2025, 12/04/2017
601733, 7798094541181, 7798094541181, SOSTEN MATERNAL PTM L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 8564.800, 0.000, 12/03/2025, 12/04/2017
601736, 7798094546360, 7798094546360, RODI PTM S/ROT AJU NEOP L, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 14558.900, 0.000, 12/03/2025, 12/04/2017
601737, 7798094546377, 7798094546377, RODI PTM S/ROT AJU NEO XL, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 14558.900, 0.000, 12/03/2025, 12/04/2017
601738, 7798128670160, 7798128670160, VEND ELAS PTM ALGO BEIG10, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 3792.290, 0.000, 12/03/2025, 12/04/2017
601739, 7798128670290, 7798128670290, VEND ELAS PTM ALGO BEIG 7, , COSMIATRIA, PROD.MEDICO ACC, 1620, PANTYMED S.A., 3157.780, 0.000, 12/03/2025, 12/04/2017
601747, 7798094540023, 7798094540023, GEL FRI/CAL PTM ANTIFAZ, PANTYMED ANTIFAZ GEL FRIO CALOR, PERFUMERIA, ORTOPEDIA, 1620, PANTYMED S.A., 4380.420, 0.000, 12/03/2025, 28/08/2018
601751, 7798094549415, 7798094549415, GEL FRI/CAL PTM 24X25 2U., , PERFUMERIA, ORTOPEDIA, 1620, PANTYMED S.A., 13143.380, 0.000, 12/03/2025, 12/04/2017
602178, 7798082306037, 7798082306037, LENOX PLANT A/MICOT X2 GR, PLANT A/MICOTICA DEPORTIVA GRANDE 43/44/45/46 X 2U, COSMIATRIA, PROD.MEDICO ACC, 1156, DR.LENOX S.A., 8421.090, 0.000, 03/04/2025, 19/11/2014
629036, 661, 661, OPROFARMA   3 MANTENIMIEN, , D R O G A S, , 3, AMERICAN BEAUTY S.H., 3.000, 0.000, 09/04/2025, 09/04/2025
701184, 4005800120282, 4005800120282, EUCERIN SOL F30 G/CR FAC, EUCERIN SUN FPS30 GEL DRAMA TOQUE SECO FACIAL X 50, COSMIATRIA, PROTEC SOLAR, 555, BEIERSDORF S.A., 28392.440, 49253.738, 30/06/2025, 04/05/2016
701185, 4005800126550, 4005800126550, EUCERIN SOL F30 TRANS SPR, EUCERIN SUN FPS30 SPRAY TRANSPAREN TOQUE SECO 200, COSMIATRIA, PROTEC SOLAR, 555, BEIERSDORF S.A., 37549.871, 61405.051, 30/06/2025, 26/09/2016
712013, 7790274034264, , CAPS GELAT PARAF 3 X 1000, CAPSULAS DE GELATINA PARAFARM 3 X 1000 UNIDADES, COSMIATRIA, FARMACOPEA, 745, SAPORITI S.A., 30292.020, 0.000, 18/06/2025, 05/06/2025
712023, 7790274036738, , CAPS GELAT PARAF 4 X 1000, , COSMIATRIA, , 745, SAPORITI S.A., 26812.190, 0.000, 12/06/2025, 05/06/2025
712035, 7790274000297, 7790274000297, BICARB SODIO PARA POTE250, BICARBONATO DE SODIO PARAFARM POTE X250, COSMIATRIA, FARMACOPEA, 745, SAPORITI S.A., 2001.950, 0.000, 08/06/2025, 17/02/2022
712088, 7790274038819, , CAPS GELAT PARAF 00 X1000, , COSMIATRIA, , 745, SAPORITI S.A., 53338.430, 0.000, 12/06/2025, 05/06/2025
800388, 7891010255381, 7891010254568, LISTERINE CUID TOT SUA500, ENJUAGUE BUCAL CUIDADO TOTAL FRESC.SUAVE X 500 ML, PERFUMERIA, CREM/ENJ BUCALE, 616, KENVUE, 5667.390, 0.000, 18/01/2025, 30/09/2016
901546, 7795379100552, 7795379100552, ISOFLAVONAS NATUF 60 CMP, , COSMIATRIA, SUPLEM.DIETARIO, 545, NATUFARMA S.A., 6714.160, 11780.000, 12/05/2025, 
901558, 7798023940184, 7798023940184, GHOUSE CENTELLA ASI 60CMP, , COSMIATRIA, SUPLEM.DIETARIO, 1091, H MEDICA ARG.(G. HOUSE), 5500.140, 9650.000, 23/06/2025, 
901567, 7798023940894, 7798023940894, GHOUSE GINKGO BILOB80X30C, , COSMIATRIA, SUPLEM.DIETARIO, 1091, H MEDICA ARG.(G. HOUSE), 3904.250, 6850.000, 23/06/2025, 
903328, 7798092840071, 7798092840071, DERMO VAGISIL TOA X 12, , COSMIATRIA, CUIDADOS CORPOR, 173, COMBE S.R.L., 5163.230, 8999.000, 01/05/2024, 
903330, 7798092840163, 7798092840163, DERMO VAGISIL GEL INTIMO, , COSMIATRIA, CUIDADOS CORPOR, 173, COMBE S.R.L., 4302.600, 7499.000, 20/01/2025, 
907703, 7794517002406, 7794517002406, FOSFOTONIC 60 CMP, FOSFOTONIC 60 COMPRIMIDOS, COSMIATRIA, SUPLEM.DIETARIO, 47, ARGENFARMA, 12108.000, 21233.000, 14/04/2025, 
2816502, 7790375245061, 7790375245061, BAGOVIT A LIGHT X 100 GR, , COSMIATRIA, TRAT.FACIA/CORP, 1456, BAGO (O.T.C.), 7283.910, 13277.540, 18/06/2025, 
2887973, 7790375000134, 7790375000134, BAGOVIT A EMU X 200 GR, , COSMIATRIA, TRAT.FACIA/CORP, 1456, BAGO (O.T.C.), 8425.600, 15358.730, 18/06/2025, 
3003194, 3577056023521, 3577056023521, ELGYDIUM PAS A/PLACA x 50, , COSMIATRIA, DENTALES, 963, ROVAFARM ORAL CARE, 6990.200, 12264.310, 10/06/2025, 06/06/2018
3013527, 7798164560104, 7798164560104, TAPA ENCHUFE BABY IN   10, BABY INN TAPA PARA ENCHUFES   10, PERFUMERIA, ACC BEBE, 977, KUIDAR, 2668.300, 0.000, 16/01/2025, 20/01/2017
3614272, 3614272629387, 3614272629387, LANCOME IDOLE EDP WOM X75, LANCOME IDOLE EDP MUJER X 75 ML., PERFUMERIA, PERFUMES ORIGIN, 936, JULERIAQUE S.A., 174318.180, 0.000, 20/02/2025, 10/09/2019
3721101, 070074112633, 070074112633, JEVITY X 1 LT, JEVITY X 1 LITRO, ALIMENTOS, , 97, ABBOTT LABORATORIOS ARG.A, 26079.300, 45756.000, 01/07/2025, 
4022061, 070074112664, 070074112664, OSMOLITE HN 1 LT, OSMOLITE HN X 1 LITRO, ALIMENTOS, , 97, ABBOTT LABORATORIOS ARG.A, 28377.400, 49788.100, 01/07/2025, 
4024316, 7795373001176, 7795373001176, FORTILAC LACA P/UNAS X7ML, , COSMIATRIA, TRAT.FACIA/CORP, 1614, PABLO CASSARA, 12493.590, 21920.000, 23/06/2025, 26/09/2018
4202012, 7798028002580, 7798028002580, PASTILL INDIVIDUAL LISFAR, PASTILLERO INDIVIDUAL LISFAR, ACCES/VARIOS, PASTILLEROS, 482, LISTEN S.A., 2490.020, 0.000, 12/08/2024, 23/04/2018
4681592, 070074116075, 070074116075, JEVITY PLUS X 1 LT, JEVITY PLUS 1 X LITRO, ALIMENTOS, , 97, ABBOTT LABORATORIOS ARG.A, 30742.900, 53938.400, 01/07/2025, 
5000077, 7795337906684, 7795337906684, CONTOUR TS GLUCO 50 TIRAS, CONTOUR TIRAS MEDIDORAS DE GLUCOSA EN SANGRE X 50, COSMIATRIA, PROD. IN VITRO, 792, TEMIS LOSTALO S.A., 76513.383, 134242.734, 24/06/2025, 
5000078, 7795337907797, 7795337907797, CONTOUR PLUS GLUCO 50TIRA, CONTOUR PLUS P/DETERMINACION DE GLUCOSA EN SANGRE, COSMIATRIA, PROD. IN VITRO, 792, TEMIS LOSTALO S.A., 76513.380, 134242.734, 24/06/2025, 23/01/2018
5000159, 5907996099238, 5907996099238, ACCU FINE AGUJ 32G6MMX100, ACCU FINE AGUJAS 32 G 6MM X 100, COSMIATRIA, PROD.MEDICO, 715, ROCHE DIAGNOSTICA, 21045.000, 36923.000, 28/02/2025, 07/12/2023
5000161, 5907996099139, 5907996099139, ACCU FINE AGUJ 32G4MMX100, , COSMIATRIA, PROD.MEDICO, 715, ROCHE DIAGNOSTICA, 21045.000, 36923.000, 28/02/2025, 25/10/2019
5000163, 4015630064076, 4015630064076, ACCU CHEK ACT GLUCO 50TIR, , COSMIATRIA, PROD. IN VITRO, 715, ROCHE DIAGNOSTICA, 75379.000, 132252.000, 28/02/2025, 
5000164, 4015630058501, 4015630058501, ACCU CHEK FASTCLIX 102LAN, P/APARATO PERFORMANCE GRIS, COSMIATRIA, PROD.MEDICO, 715, ROCHE DIAGNOSTICA, 26373.000, 46271.000, 28/02/2025, 
5000165, 4015630058518, 4015630058518, ACCU CHEK FASTCLIX 24LANC, , COSMIATRIA, PROD.MEDICO, 715, ROCHE DIAGNOSTICA, 7407.000, 12996.000, 28/02/2025, 
5000166, 4015630065585, 4015630065585, ACCU CHEK FAST PUNZ+6LANC, FASTCLIX KIT(1 PUNZADOR + 6 LANCETAS), COSMIATRIA, PROD. IN VITRO, 715, ROCHE DIAGNOSTICA, 26478.000, 46456.000, 28/02/2025, 14/08/2017
5000181, 4015630981960, 4015630981960, ACCU CHEK PERFO GLUC 25T, , COSMIATRIA, PROD. IN VITRO, 715, ROCHE DIAGNOSTICA, 41904.000, 73521.000, 28/02/2025, 
5000182, 4015630981977, 4015630981977, ACCU CHEK PERFO GLUC 50T, , COSMIATRIA, PROD. IN VITRO, 715, ROCHE DIAGNOSTICA, 75379.000, 132252.000, 28/02/2025, 
5000183, 7795337907186, 7795337907186, CONTOUR PLUS MET KIT GLUC, CONTOUR PLUS KIT MEDIDOR DE GLUCOSA EN SANGRE, COSMIATRIA, PROD. IN VITRO, 792, TEMIS LOSTALO S.A., 56072.762, 98379.656, 24/06/2025, 31/01/2018
5000186, 7795320002072, 7795320002072, CONTOUR PLUS HOSPITAL KIT, CONTOUR KIT PARA MONITOREO DE GLUCOSA EN SANGRE, COSMIATRIA, PROD. IN VITRO, 792, TEMIS LOSTALO S.A., 48829.719, 85671.828, 18/02/2025, 22/05/2018
5010865, 5708932608985, 5708932608985, COLOP PASTA BRAVA X10 TIR, PASTA MOLDEABLE X 10TIRAS S/ALCOHOL 26555, COSMIATRIA, PROD.MEDICO, 185, DROSER S.A., 29013.460, 0.000, 02/07/2025, 25/10/2016
5010866, 5708932642538, 5708932642538, COLOPLAST POW PVO BRAVA25, PVO X25 GR, COSMIATRIA, PROD.MEDICO, 185, DROSER S.A., 26219.230, 0.000, 02/07/2025, 09/11/2018
5900005, 7790274449010, , COCAINA CLORH X 2 GR, , D R O G A S, , 745, SAPORITI S.A., 75.000, 0.000, 11/04/2014, 
5900131, 7790274668053, , FENTERMINA 50 GR, , D R O G A S, , 745, SAPORITI S.A., 24.410, 0.000, , 
5900200, 7790274010937, , MORFINA CLORH X 10 GR, , D R O G A S, , 949, VERARDO Y CIA S.A., 69258.000, 0.000, 05/05/2025, 
5900203, 7790274005551, , DIONINA CLORH X 10 GR, , D R O G A S, , 745, SAPORITI S.A., 120012.690, 0.000, 05/05/2025, 31/08/2018
5900206, 7790274011176, , METADONA CLOR PARAF X 5GR, , D R O G A S, , 745, SAPORITI S.A., 57930.300, 0.000, 05/05/2025, 08/06/2018
5900207, 7790274011185, , METADONA CLOR PARAF X 10G, , D R O G A S, , 745, SAPORITI S.A., 115295.420, 0.000, 05/05/2025, 31/08/2018
5900208, 7790174410915, , OXICODONA CLORH X 10 GR, , D R O G A S, , 949, VERARDO Y CIA S.A., 80682.000, 0.000, 05/05/2025, 30/08/2017
6000015, 7797811099509, 7797811099509, ACEI ALMENDRA EWE X 30 ML, ACEITE DE ALMENDRAS EWE X 30 ML, COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 2644.630, 4640.000, 21/05/2025, 
6000020, 7797811099516, 7797811099516, ACEI ALMENDRA EWE X 50 ML, ACEITE DE ALMENDRAS EWE X 50 ML, COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 3590.770, 6300.000, 21/05/2025, 
6000021, 7797811099486, 7797811099486, EWE ACEI TEA TREE OIL20ML, ACEITE DE ARBOL DE TE PURO, COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 11245.370, 19730.000, 23/06/2025, 20/12/2017
6000023, 8007403114305, 8007403114305, BELLIS RIZADOR GT15 200 C, , PERFUMERIA, PLANCHA/SECADOR, 1158, TENACTA S.A., 48487.820, 0.000, 13/08/2024, 01/08/2024
6000026, 7790274525059, 7790274525059, ACEI ALMENDRA PARA X 50ML, ACEITE DE ALMENDRAS PARAFARM X 50ML, COSMIATRIA, FARMACOPEA, 745, SAPORITI S.A., 2254.240, 0.000, 18/06/2025, 21/04/2022
6000029, 7798028002337, 7798028002337, PARCHE POROSO H COBR LIX2, , COSMIATRIA, PROD.MEDICO ACC, 482, LISTEN S.A., 3092.400, 0.000, 14/11/2024, 08/04/2016
6000044, 7891024073001, 7891024073001, COLG CEP LIGA JUS X2+6A, COLGATE CEPILLO LIGA DE LA JUSTICIA X2U 6+ ANOS, PERFUMERIA, CEPILLOS DENTAL, 127, COLGATE PALMOLIVE S.A.I.C, 2502.290, 0.000, 31/03/2025, 30/01/2019
6000049, 070942001953, 070942001953, GUM HILO DEN 894 X40MANG, GUM HILO DENTAL FLOSSERS ORIGINAL MENTA X 40 U 894, PERFUMERIA, HILOS DENTALES, 812, SUNSTAR, 2870.380, 0.000, 09/12/2024, 08/02/2019
6000051, 0071603068476, 071603068476, PINZA DEP TRIM X2 COM+PTA, , PERFUMERIA, ACC PERFUMERIA, 713, R3, 3997.310, 0.000, 07/07/2025, 01/06/2023
6000065, 7797811099400, 7797811099400, RICINO ACEI EWE X 30 ML, , COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 2513.540, 4410.000, 23/06/2025, 
6000066, 7797811099462, 7797811099462, ARGAN ACEI EWE X 50 ML, HIDRATACION CABRELLO. PIEL. UNAS, COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 9455.690, 16590.000, 23/06/2025, 22/05/2018
6000070, 7797811099417, 7797811099417, RICINO ACEI EWE X 50 ML, , COSMIATRIA, FARMACOPEA, 218, EWE S.A. ACC, 3493.870, 6130.000, 23/06/2025, 
6000093, 5012909006156, 5012909006156, CEPI LIMP MAMAD AVENT, AVENT CEPILLO LIMPIA MAMADERA, PERFUMERIA, ACC BEBE, 1278, AVENT, 10924.420, 0.000, 10/10/2024, 14/10/2024
6000109, 7791290793743, 7791290791343, VIVERE SUAVIZ CLAS X 3 R, VIVERE LIQUIDO REGULAR CLASICO X 3 LT, PERFUMERIA, LIMPIEZA HOGAR, 476, UNILEVER DE ARG. S.A., 6015.320, 0.000, 19/05/2025, 01/03/2019
6000111, 0012800183173, 0012800183173, RAYOVAC PILA DX2, RAYOVAC PILA ALCALINA D X 2 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 5170.410, 0.000, 11/03/2025, 02/03/2019
6000112, 0012800181766, 0012800181766, RAYOVAC PILA CX2, RAYOVAC PILA ALCALINA C X 2 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 3622.580, 0.000, 11/03/2025, 02/03/2019
6000113, 0012800180936, 012800180936, RAYOVAC PILA AAX2, RAYOVAC PILA ALCALINA AA X 2 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 1580.750, 0.000, 11/03/2025, 02/03/2019
6000114, 0012800185078, 012800185078, RAYOVAC PILA AAX4, RAYOVAC PILA ALCALINA AA X 4 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 2963.930, 0.000, 11/03/2025, 02/03/2019
6000116, 0012800198443, 0012800198443, RAYOVAC PILA AAAX2, RAYOVAC PILA ALCALINA AAA X 2 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 1580.750, 0.000, 11/03/2025, 02/03/2019
6000122, 0012800389353, 012800389353, RAYOVAC PILA AAAX4, RAYOVAC PILA ALCALINA AAA X 4 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 3691.790, 0.000, 18/06/2025, 02/03/2019
6000123, 0012800330355, 012800330355, RAYOVAC BATERIA 9V X1, RAYOVAC BATERIA ALCALINA 9V X 1 UNIDAD, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 2634.600, 0.000, 11/03/2025, 02/03/2019
6000124, 5000252050308, 012800516049, RAYOVAC PILA AUDI T 10X6, RAYOVAC PILA AUDIOLOGIA TAM 10 X 6 UNIDADES, PERFUMERIA, PILAS, 301, GRIMBERG DENTALES S.A., 5925.490, 0.000, 27/06/2025, 02/03/2019
6000196, 7796733098966, 7796733098966, SET CEPI CAB NEU GR+CH, SET CEPILLOS CABELLO NEUMATICO GRANDE+CHICO, PERFUMERIA, ACC PERFUMERIA, 713, R3, 4838.540, 0.000, 07/07/2025, 21/11/2024
6000198, 7891024068007, 7891024068007, COLG CEP ORTHOGARD, COLGATE CEPILLO DENTAL ORTHOGARD, PERFUMERIA, CEPILLOS DENTAL, 127, COLGATE PALMOLIVE S.A.I.C, 2951.220, 0.000, 31/03/2025, 13/03/2019
6000221, 8710103779803, 8710103779803, VASO AVENT EASY 6+NENA200, AVENT VASO EASY +6 MESES NENA X 200 ML, PERFUMERIA, ACC BEBE, 1278, AVENT, 15615.780, 0.000, 11/10/2024, 14/10/2024
6000222, 8710103779810, 8710103779810, VASO AVENT EASY 6+NENE200, AVENT VASO EASY +6 MESES NENE X 200 ML, PERFUMERIA, ACC BEBE, 1278, AVENT, 15615.780, 0.000, 11/10/2024, 14/10/2024
